# UK ecommerce and retail (enumerated Aug 2026, Tranco-validated, classified; top 245 by rank. Multinationals filed under primary market)
amazon.co.uk | Amazon UK
karenmillen.com | Karen Millen
seasaltcornwall.com | Seasalt Cornwall
tedbaker.com | Ted Baker
plumbworld.co.uk | Plumbworld
lululemon.co.uk | Lululemon UK
espares.co.uk | eSpares
beautybay.com | Beauty Bay
vistaprint.co.uk | Vistaprint UK
vapeclub.co.uk | Vape Club
crocs.co.uk | Crocs UK
ironmongerydirect.co.uk | IronmongeryDirect
size.co.uk | size?
glassesdirect.co.uk | Glasses Direct
shoezone.com | Shoe Zone
ebuyer.com | Ebuyer
anglingdirect.co.uk | Angling Direct
firebox.com | Firebox
skechers.co.uk | Skechers UK
savers.co.uk | Savers
masterofmalt.com | Master of Malt
woolwarehouse.co.uk | Wool Warehouse
gardeningexpress.co.uk | Gardening Express
whsmith.co.uk | WHSmith
snapfish.co.uk | Snapfish UK
menkind.co.uk | Menkind
carhartt-wip.com | Carhartt WIP
annsummers.com | Ann Summers
clubhousegolf.co.uk | Clubhouse Golf
forbiddenplanet.com | Forbidden Planet
mulberry.com | Mulberry
secretsales.com | Secret Sales
simplybe.co.uk | Simply Be
bloomandwild.com | Bloom & Wild
wexphotovideo.com | Wex Photo Video
accessorize.com | Accessorize
markselectrical.co.uk | Marks Electrical
maplin.co.uk | Maplin
andertons.co.uk | Andertons
papier.com | Papier
musicmagpie.co.uk | MusicMagpie
travisperkins.co.uk | Travis Perkins
thepihut.com | The Pi Hut
cotswoldoutdoor.com | Cotswold Outdoor
pimoroni.com | Pimoroni
allbeauty.com | Allbeauty
photobox.co.uk | Photobox
moss.co.uk | Moss
dreams.co.uk | Dreams
dorothyperkins.com | Dorothy Perkins
wallpaperdirect.com | Wallpaperdirect
tredz.co.uk | Tredz
alpinetrek.co.uk | Alpinetrek
thetoyshop.com | The Entertainer
chainreactioncycles.com | Chain Reaction Cycles
box.co.uk | Box
whitestuff.com | White Stuff
jojomamanbebe.co.uk | JoJo Maman Bebe
regatta.com | Regatta
cef.co.uk | CEF
castore.com | Castore
visionexpress.com | Vision Express
pcspecialist.co.uk | PC Specialist
hackett.com | Hackett
dunelondon.com | Dune London
mamasandpapas.com | Mamas & Papas
pharmacy2u.co.uk | Pharmacy2U
brompton.com | Brompton
hotelchocolat.com | Hotel Chocolat
hellofresh.co.uk | HelloFresh UK
hamleys.com | Hamleys
brownsfashion.com | Browns Fashion
# US ecommerce and retail (same method; top 234)
apple.com | Apple
amazon.com | Amazon
samsung.com | Samsung
ui.com | Ubiquiti
ebay.com | eBay
hp.com | HP
etsy.com | Etsy
walmart.com | Walmart
tp-link.com | TP-Link
temu.com | Temu
dell.com | Dell
shein.com | Shein
target.com | Target
ikea.com | IKEA
nintendo.com | Nintendo
nike.com | Nike
asus.com | ASUS
ring.com | Ring
homedepot.com | The Home Depot
bestbuy.com | Best Buy
lenovo.com | Lenovo
discogs.com | Discogs
lg.com | LG
lowes.com | Lowe's
hm.com | H&M
costco.com | Costco
garmin.com | Garmin
netgear.com | Netgear
kohls.com | Kohl's
logitech.com | Logitech
blueapron.com | Blue Apron
sony.com | Sony
barnesandnoble.com | Barnes & Noble
lego.com | LEGO
wayfair.com | Wayfair
adidas.com | Adidas
instacart.com | Instacart
redbubble.com | Redbubble
sonos.com | Sonos
zara.com | Zara
uniqlo.com | Uniqlo
walgreens.com | Walgreens
macys.com | Macy's
samsclub.com | Sam's Club
abebooks.com | AbeBooks
simplisafe.com | SimpliSafe
arlo.com | Arlo
dji.com | DJI
mercari.com | Mercari
gap.com | Gap
tcgplayer.com | TCGplayer
poshmark.com | Poshmark
dickssportinggoods.com | Dick's Sporting Goods
nordstrom.com | Nordstrom
cvs.com | CVS Pharmacy
razer.com | Razer
chewy.com | Chewy
fitbit.com | Fitbit
belkin.com | Belkin
victoriassecret.com | Victoria's Secret
michaels.com | Michaels
shutterfly.com | Shutterfly
newegg.com | Newegg
zazzle.com | Zazzle
bhphotovideo.com | B&H Photo Video
kroger.com | Kroger
mango.com | Mango
sephora.com | Sephora
menards.com | Menards
qvc.com | QVC
acehardware.com | Ace Hardware
jcpenney.com | JCPenney
bookshop.org | Bookshop.org
gamestop.com | GameStop
vistaprint.com | Vistaprint
iherb.com | iHerb
rei.com | REI
zappos.com | Zappos
tractorsupply.com | Tractor Supply
louisvuitton.com | Louis Vuitton
webstaurantstore.com | WebstaurantStore
puma.com | Puma
skechers.com | Skechers
harborfreight.com | Harbor Freight Tools
lululemon.com | Lululemon
thriftbooks.com | ThriftBooks
digikey.com | DigiKey
oreillyauto.com | O'Reilly Auto Parts
birkenstock.com | Birkenstock
chanel.com | Chanel
ifixit.com | iFixit
academy.com | Academy Sports and Outdoors
bedbathandbeyond.com | Bed Bath & Beyond
wyze.com | Wyze
torrid.com | Torrid
mouser.com | Mouser Electronics
carvana.com | Carvana
whoop.com | Whoop
ulta.com | Ulta Beauty
gopro.com | GoPro
gunbroker.com | GunBroker
dior.com | Dior
palmettostatearmory.com | Palmetto State Armory
scholastic.com | Scholastic
thredup.com | ThredUp
jbl.com | JBL
steelseries.com | SteelSeries
bambulab.com | Bambu Lab
stockx.com | StockX
overstock.com | Overstock
ecobee.com | ecobee
mattel.com | Mattel
adafruit.com | Adafruit
revolve.com | Revolve
staples.com | Staples
petco.com | Petco
govee.com | Govee
maurices.com | Maurices
autozone.com | AutoZone
saksfifthavenue.com | Saks Fifth Avenue
anker.com | Anker
patagonia.com | Patagonia
therealreal.com | The RealReal
artsy.net | Artsy
officedepot.com | Office Depot
petsmart.com | PetSmart
gucci.com | Gucci
sweetwater.com | Sweetwater
grainger.com | Grainger
corsair.com | Corsair
hermes.com | Hermes
fashionnova.com | Fashion Nova
faire.com | Faire
hsn.com | HSN
asics.com | ASICS
bose.com | Bose
coach.com | Coach
ecoflow.com | EcoFlow
zola.com | Zola
abercrombie.com | Abercrombie & Fitch
oakley.com | Oakley
wholefoodsmarket.com | Whole Foods Market
dollargeneral.com | Dollar General
fanatics.com | Fanatics
publix.com | Publix
levi.com | Levi's
summitracing.com | Summit Racing Equipment
underarmour.com | Under Armour
trekbikes.com | Trek Bikes
lacoste.com | Lacoste
hollisterco.com | Hollister
urbanoutfitters.com | Urban Outfitters
anthropologie.com | Anthropologie
bathandbodyworks.com | Bath & Body Works
michaelkors.com | Michael Kors
hobbylobby.com | Hobby Lobby
ssense.com | SSENSE
reverb.com | Reverb
thenorthface.com | The North Face
spoonflower.com | Spoonflower
rockauto.com | RockAuto
shopbop.com | Shopbop
belk.com | Belk
dyson.com | Dyson
sparkfun.com | SparkFun
cricut.com | Cricut
bloomingdales.com | Bloomingdale's
ashleyfurniture.com | Ashley Furniture
pandora.net | Pandora
insta360.com | Insta360
neimanmarcus.com | Neiman Marcus
sleepnumber.com | Sleep Number
hoka.com | Hoka
williams-sonoma.com | Williams Sonoma
bjs.com | BJ's Wholesale Club
gopuff.com | Gopuff
ae.com | American Eagle Outfitters
sherwin-williams.com | Sherwin-Williams
totalwine.com | Total Wine & More
dollartree.com | Dollar Tree
crocs.com | Crocs
talbots.com | Talbots
safeway.com | Safeway
loft.com | Loft
harley-davidson.com | Harley-Davidson
vans.com | Vans
hottopic.com | Hot Topic
cartier.com | Cartier
ralphlauren.com | Ralph Lauren
crateandbarrel.com | Crate & Barrel
uline.com | Uline
wish.com | Wish
nordstromrack.com | Nordstrom Rack
snapfish.com | Snapfish
tommy.com | Tommy Hilfiger
heb.com | H-E-B
mcmaster.com | McMaster-Carr
prada.com | Prada
dillards.com | Dillard's
potterybarn.com | Pottery Barn
woot.com | Woot
hugoboss.com | Hugo Boss
bodybuilding.com | Bodybuilding.com
stitchfix.com | Stitch Fix
hellofresh.com | HelloFresh
worldmarket.com | World Market
jcrew.com | J.Crew
weber.com | Weber
dsw.com | DSW
mytheresa.com | Mytheresa
basspro.com | Bass Pro Shops
scheels.com | Scheels
lanebryant.com | Lane Bryant
sportsmans.com | Sportsman's Warehouse
llbean.com | L.L.Bean
guitarcenter.com | Guitar Center
1stdibs.com | 1stDibs
specialized.com | Specialized
tiffany.com | Tiffany & Co.
freepeople.com | Free People
bonanza.com | Bonanza
adorama.com | Adorama
eero.com | eero
babylist.com | Babylist
cabelas.com | Cabela's
armani.com | Armani
zoro.com | Zoro
backcountry.com | Backcountry
footlocker.com | Foot Locker
quince.com | Quince
hallmark.com | Hallmark
offerup.com | OfferUp
crutchfield.com | Crutchfield
orientaltrading.com | Oriental Trading
